position_rank,name,team_abbreviation
1,Jimmy Graham,NO
2,Rob Gronkowski,NE
3,Julius Thomas,DEN
4,Jordan Cameron,CLE
5,Greg Olsen,CAR
6,Jason Witten,DAL
7,Jordan Reed,WAS
8,Vernon Davis,SF
9,Dennis Pitta,BAL
10,Kyle Rudolph,MIN
11,Charles Clay,MIA
12,Martellus Bennett,CHI
13,Heath Miller,PIT
14,Zach Ertz,PHI
15,Delanie Walker,TEN
16,Antonio Gates,SD
17,Jared Cook,STL
18,Garrett Graham,HOU
19,Dwayne Allen,IND
20,Tyler Eifert,CIN
21,Ladarius Green,SD
22,Eric Ebron,DET
23,Owen Daniels,BAL
24,Travis Kelce,KC
25,Coby Fleener,IND
26,Jermichael Finley,FA
27,Marcedes Lewis,JAC
28,Jace Amaro,NYJ
29,Scott Chandler,BUF
30,Adrien Robinson,NYG
31,Brandon Pettigrew,DET
32,Brandon Myers,TB
33,Tim Wright,TB
34,Mychal Rivera,OAK
35,Jermaine Gresham,CIN
36,Austin Seferian-Jenkins,TB
37,Levine Toilolo,ATL
38,Demetrius Harris,KC
39,Joseph Fauria,DET
40,Richard Rodgers,GB
41,Andrew Quarless,GB
42,Zach Miller,SEA
43,Brent Celek,PHI
44,David Ausberry,OAK
45,Jeff Cumberland,NYJ
46,Gavin Escobar,DAL
47,Brandon Bostick,GB
48,Ryan Griffin,HOU
49,Troy Niklas,ARI
50,John Carlson,ARI
51,Anthony Fasano,KC
52,Luke Willson,SEA
53,Ed Dickson,CAR
54,Fred Davis,FA
55,Lance Kendricks,STL
56,Robert Housler,ARI
57,Colt Lyerla,GB
58,Tony Moeaki,BUF
59,Chris Gragg,BUF
60,Zach Sudfeld,NYJ
61,Benjamin Watson,NO
62,Vance McDonald,SF
63,Jake Ballard,ARI
64,Clay Harbor,JAC
65,Jacob Tamme,DEN
66,Dion Sims,MIA
67,Logan Paulsen,WAS
68,Gary Barnidge,CLE
69,Rhett Ellison,MIN
70,Josh Hill,FA
71,C.J. Fiedorowicz,HOU
72,Virgil Green,DEN
73,Bear Pascoe,ATL
74,Larry Donnell,NYG
75,James Casey,PHI
76,Matt Spaeth,PIT
77,D.J. Williams,NE
78,Sean McGrath,KC
79,Ryan Taylor,GB
80,Crockett Gillmore,BAL
81,Michael Hoomanawanui,NE
82,Kellen Davis,NYG
83,Mickey Shuler,ATL
84,John Phillips,SD
85,James Hanna,DAL
86,Mike McNeill,CAR
87,Craig Stevens,TEN
88,Dante Rosario,CHI
89,Matthew Mulligan,CHI
90,Justice Cunningham,STL
91,Lee Smith,BUF
92,Nick Kasa,OAK
93,David Paulson,PIT
94,Anthony McCoy,SEA
95,Garrett Celek,SF
96,Weslye Saunders,IND
97,Brandon Barden,JAC
98,Arthur Lynch,MIA
99,Niles Paul,WAS
100,Luke Stocker,TB
101,Taylor Thompson,TEN
